ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
1,Shaaray Tefila Cemetery,40.7938795,-73.9527265,,No,11,1846,1857,1,37708.3,11409,41.8,19.42,48.65,968447,35130,19.77,32.92,0.82,7.59,0.09,25.97,12.83,88.1,4954,32.67,27.28,45079
2,Brick Presbyterian Churchyard,40.7116137,-74.0064395,1,No,89,1767,1856,1,76537.1,23157,31.8,8.36,39.25,1071074,112296,60.78,6.4,0.18,20.58,0.09,2.99,9,65.7,12595,7.78,6.67,188881
4,Luyster Cemetery,40.7719656,-73.8832846,2,No,270,1668,1938,1,707.3,214,34.7,13.08,60,937500,28813,12.62,11.68,1.87,21.5,0,36.92,15.89,87.9,36,20.83,16.67,72567
5,Bergen Family Burial ground,40.6529412,-74.0074895,16,No,30,1830,1860,1,32879.5,9948,37,13.01,57.9,1111111,36118,21.06,4.74,3.96,9.89,0.09,45.33,14.93,83.7,3754,27.54,13.27,69330
6,41St Street Reformed Presbyterian Church Cemetery,40.7578709,-73.9939028,3,No,26,1832,1858,1,90283.2,27316,35.1,11.58,30.94,1207258,86973,45.9,11.48,0.48,24.45,0.45,7.44,9.8,79.2,18825,16.29,10.93,97055
9,First Reformed Dutch Church of Brooklyn cemetery,40.6905269,-73.9861576,26,No,214,1654,1868,1,60084.1,18179,33.6,5.87,45.5,1355943,110941,52.98,9.99,0.24,22.45,0.04,3.67,10.63,71.4,11218,9.53,13.67,165403
10,Melrose Cemetery,40.8188231,-73.9116024,,No,121,1853,1974,1,61915.2,18733,35.1,11.32,57.01,336913,22268,8.55,37.44,1.83,1.47,0.2,35.34,15.18,84.2,7318,41.51,34.51,35707
11,Attorney Street Methodist Protestant Church Burial Vaults,40.7182312,-73.9849732,4,No,158,1831,1989,1,95429.3,28873,36.4,17.62,36.65,822133,55268,40.09,8.41,0.62,25.57,0.08,13.64,11.58,84,16674,20.64,19.62,63301
13,Thorne-Wilkins Cemetery,40.7928425,-73.7794014,,No,34,1829,1863,1,502.4,152,43,19.08,47.5,1125000,50944,42.11,4.61,0,42.76,0,4.61,5.92,70.9,71,13.85,1.54,131319
14,"Public Burial Ground,Brooklyn",40.6918237,-73.9899974,20,No,1827,,1827,1,52683.9,15940,34.6,7.79,42.03,1269333,119738,63.83,6.09,0.21,16.34,0.03,2.89,10.61,62.7,9274,9.76,9.3,179185
15,"Fordham Manor Church Cemetery, Fordham Road",40.8686314,-73.9001643,5,No,1909,,1909,1,78827.6,23850,37.1,15.43,61.97,648684,19812,9.76,16.44,1.54,5.71,0.08,49.68,16.78,79.6,8884,30.36,31.54,40137
16,"Fordham Manor Church Cemetery, Kingsbridge Road",40.862428,-73.9085809,6,No,91,1849,1940,1,65507.9,19820,35.4,11.75,61.69,345833,19358,9.19,19.57,1.76,3.4,0.12,50.77,15.19,79.2,6685,30.18,32.86,48099
17,Bedford Street Methodist Church Graveyard and Vaults,40.7309736,-74.0041214,7,No,104,1810,1914,1,76867.7,23257,34,12.98,32.79,1391329,117230,76.51,2.55,0.09,9.14,0.06,2.7,8.94,49.7,16002,8.54,7.45,138769
21,"Catholic Cemetery, Willamsburg",40.7208862,-73.9606618,19,No,50,1840,1890,1,40418.6,12229,34.9,4.48,38.51,1599570,125917,66.55,3.16,0.48,12.19,0.08,5.92,11.61,64.8,7386,7.21,7.62,173153
22,Bay Ridge Methodist Church Cemetery,40.6346273,-74.0177421,28,No,99,1831,1930,1,44265.7,13393,35.9,12.79,56.65,1183891,31737,31.52,2.26,0.96,41.51,0.01,15.69,8.03,80.8,4626,19.07,19.25,72389
23,Westchester Methodist Church Graveyard,40.8433273,-73.8486245,9,No,-33,1948,1915,1,34542,10451,35.6,12.43,56.59,656793,27687,17.03,14.64,1.65,22.94,0.16,31.9,11.68,89.1,3835,31.63,21.94,55951
24,"St. Andrew's Churchyard, Harlem",40.8065243,-73.937458,22,No,61,1830,1891,1,44685.5,13520,37.6,15.67,49.6,758333,30240,14.17,50.76,1.39,3.7,0.13,18.98,10.87,82.4,6498,24.72,29.38,40347
27,First Presbyterian Church of Newtown Cemetery,40.7363194,-73.8761502,23,No,306,1652,1958,1,61634.3,18648,40.5,16.5,46.45,905442,35642,8.56,1.39,1.06,68.28,0.06,13.84,6.82,67.7,7159,16.77,10.93,73065
28,Cannon Street Baptist Church Cemetery,40.7178933,-73.9426316,39,No,18,1846,1864,1,41162.2,12454,34.8,7.86,32.62,1318536,85080,62.13,9.81,0.48,8.07,0.02,8.86,10.62,71.4,6683,13.97,8.72,111942
29,West Farms Reformed Dutch Church Cemetery& Hedger-Edward family cemetery,40.8327102,-73.8849403,41,No,131,1769,1900,1,51299.1,15521,34.4,11.61,58.16,679612,24737,7.04,32.9,1.82,1.57,0.06,42.38,14.23,82.6,6623,31.99,30.77,39884
34,St. Thomas Churchyard,40.7259413,-73.9971414,42,No,80,1825,1905,1,65762.4,19897,34.2,14.25,36.94,1407380,105841,67.92,3.37,0.11,14.81,0.08,3.8,9.91,59.2,12997,13.06,11.02,129810
38,St. Augustine's Churchyard,40.8339999,-73.8999536,43,No,44,1850,1894,1,59456.2,17989,34.9,11.01,61.34,562814,17693,6.04,48.6,1.11,0.63,0.15,30.71,12.76,82.4,6889,39.45,30.77,31456
39,"German Catholic Cemetery, 124th Street",40.8084606,-73.9503135,44,No,21,1848,1869,1,76451.2,23131,36,11,56.88,1367391,51386,22.35,49.03,0.63,5.06,0.06,11.73,11.14,79.5,11348,15.31,20.83,74961
40,Cherry Lane African Church Cemetery,40.6242403,-74.1366239,45,No,100,1850,1950,1,13230.5,4003,38.9,16.19,50.21,618539,52420,54.48,7.37,1.37,10.37,0,16.19,10.19,79.5,1426,16.28,6.33,117909
