ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
3,St. Andrew's Church Cemetery,40.5728612,-74.1470843,,Yes,291,1733,2024,1,1408,426,48.2,26.06,43.33,905063,76063,84.98,0.23,0.23,4.69,0,2.11,7.98,40.4,162,26.53,5.44,144318
7,Port Richmond Reformed Dutch Church Cemetery,40.6396185,-74.1330302,,Yes,334,1690,2024,1,12817.3,3878,32.5,10.29,69.97,439796,23303,13,30.32,5.26,5.18,0,32.98,13.25,87.8,1342,32.01,39.93,40502
8,Lutheran Cemetery,40.7123196,-73.8876334,,Yes,174,1850,2024,1,7644.8,2313,43,19.24,38.79,872799,49967,74.58,0.73,0.35,6.23,0.13,11.11,6.83,61,1064,18.18,7.92,89508
12,Ocean View Cemetery,40.8768646,-73.9031391,,Yes,104,1920,2024,1,71222.5,21549,37.4,13.73,55.96,303623,25965,13.36,18.57,1.69,2.4,0.1,46.83,17.04,81.2,8945,28.26,28.24,49078
18,Mount Loretto Cemetery,40.514232,-74.2181552,,Yes,141,1883,2024,1,337.1,102,42.5,16.67,53.33,979167,61639,86.27,2.94,0,2.94,0,0.98,6.86,38.2,27,6.67,3.33,110038
19,Flushing Cemetery,40.7523009,-73.7990004,,Yes,171,1853,2024,1,11416,3454,44.2,20.53,45.05,896670,42569,31.41,1.82,0.49,46.32,0,11.26,8.69,78,1162,25.18,7.45,108252
20,St. Paul's Churchyard Cobble Hill,40.6875922,-73.9941689,21,Yes,186,1838,2024,1,56071.7,16965,35.8,10.41,46.14,1723192,110949,72.84,3.48,0.31,8.78,0.01,3.25,11.32,55,8749,11.08,8.01,182679
25,Resurrection Cemetery,40.5174072,-74.2143462,,Yes,47,1977,2024,1,3576.2,1082,41.9,16.82,51.46,973837,61510,85.49,2.59,0.09,3.6,0.09,1.29,6.84,38.9,382,9.23,3.24,113164
26,Polish National Catholic Cemetery,40.6241779,-74.1449783,,Yes,127,1897,2024,1,12668.6,3833,39.8,17.3,49.77,696487,42945,47.82,12.78,1.77,13.51,0.05,14.95,9.11,82.6,1358,19.14,7.02,104748
30,John Street Methodist Church Graveyard and Vaults,40.7091174,-74.0081374,,Yes,256,1768,2024,1,103203,31225,31.4,6.64,32.59,1096763,120926,61.22,5.01,0.19,21.21,0.1,3.11,9.17,64.7,19530,6.07,6.35,183383
31,"Methodist Cemetery, Jamaica",40.7010673,-73.7939758,,Yes,174,1850,2024,1,18981.4,5743,37,15.24,56.27,626410,23579,3.6,49.1,0.77,20.36,0.17,16.16,9.82,78.8,2118,32.14,22.08,50419
32,Prison Ship Martyrs Tombs,40.6919247,-73.9757097,,Yes,216,1808,2024,1,57416.9,17372,35.8,12.28,43.96,918702,78410,34.62,31.26,0.5,14.05,0.18,8.57,10.83,82.2,8723,20.27,16.37,111468
33,Stockbridge Indian Burial Ground,40.8994856,-73.8733106,,Yes,246,1778,2024,1,13432.1,4064,37.8,14.59,38.35,722059,55362,70.45,8.49,0.27,1.82,0.2,10.46,8.32,65.4,2010,23.08,10.17,85635
35,St Joseph's Cemetery,40.551281,-74.2156857,,Yes,162,1862,2024,1,10926.8,3306,41.7,18.18,53.52,646895,47272,78.89,1.57,0.67,7.86,0,3.39,7.59,51.5,1214,35.65,8.08,109478
36,Moore Jackson cemetery,40.7560083,-73.9076728,,Yes,291,1733,2024,1,36353.2,10999,40,17.04,45.54,666339,41820,32.03,12.11,1.25,23.08,0.09,19.33,12.11,87.6,4925,19.95,16.16,70624
37,Evergreen Cemetery,40.6870546,-73.8984608,,Yes,175,1849,2024,1,9.9,3,28.8,0,0,0,0,0,0,0,0,0,0,100,44.4,1,0,0,0
41,Our Lady Of Mount Carmel Cemetery,40.7737858,-73.9252112,,Yes,183,1841,2024,1,39529.5,11960,37,14.21,46.66,924395,59896,48.47,4.62,1.15,15.15,0.04,16.51,14.06,82.3,5541,14.37,7.9,103967
42,New Utrecht Cemetery,40.6107804,-74.0060018,,Yes,370,1654,2024,1,46972.7,14212,39.8,17.61,50.9,1077241,37534,32.56,1.28,1.27,50.91,0.01,8.87,5.11,72.1,5191,22.43,10.69,76935
50,Mount St.Mary's Cemetery,40.7405691,-73.8008708,,Yes,162,1862,2024,1,9528.7,2883,40.2,15.75,51.26,996503,37301,14.33,2.6,0.49,60.98,0.03,13.77,7.84,72.2,1083,13.37,8.88,86874
51,Presentation Sisters Cemetery,40.5615203,-74.1852253,,Yes,140,1884,2024,1,11977.8,3624,39.7,12.47,65.03,487845,37656,58.42,3.92,0.3,24.01,0.06,5.3,8,69.7,1208,15.71,11.01,101755
52,Flatlands Reformed Dutch Church Cemetery,40.6238848,-73.9365018,,Yes,176,1848,2024,1,40349.2,12208,39.3,17.06,54.36,727095,34667,17.78,57.8,0.35,9.42,0.03,6.26,8.36,68.6,4309,28.87,10.4,81018
53,Pell Family Burial Ground,40.870588,-73.8047265,,Yes,182,1842,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,St. Michael's Cemetery,40.7644303,-73.8988815,,Yes,172,1852,2024,1,6157.5,1863,39.1,17.66,43.29,952479,40442,47.88,3.06,0.38,21.63,0.11,14.39,12.61,81.4,722,14.11,9.29,64753
56,"St. Peter's Cemetery, West New Brighton",40.6227171,-74.11352,,Yes,176,1848,2024,1,6517.7,1972,46,25.35,44.07,729035,61869,78.35,1.93,0.25,6.49,0,4.41,8.47,51.9,884,23.71,5.18,119584
57,Rapejle Cemetery,40.7831731,-73.9145271,,Yes,2024,,2024,1,28817.5,8719,39.2,15.33,43.74,990556,40716,57.3,4.16,0.53,13.66,0.07,11.86,12.43,76.2,3822,28.51,13.65,79213
58,Flatbush Reformed Dutch Church Cemetery,40.6499743,-73.9594101,,Yes,270,1754,2024,1,93595,28318,36.5,13.94,54.28,946108,38869,15.72,54.6,1.1,4.14,0.06,13.5,10.88,77.1,11955,16.33,16.09,74174
59,First Presbyterian of Throggs Neck Churchyard,40.8398953,-73.836569,,Yes,169,1855,2024,1,18921.9,5725,39.7,15.09,47.38,665379,38732,35.6,11.83,1.47,8.73,0.16,27.49,14.72,87.7,2375,25.74,15.01,65447
61,Merrell Cemetery,40.610447,-74.1614743,,Yes,240,1784,2024,1,15438.3,4671,40.7,18.86,46.47,675096,42380,54.55,4.97,0.81,22.8,0.11,9.08,7.69,74.8,1685,27.41,5.95,101280
62,St. Monica's Cemetery,40.6999486,-73.7968904,,Yes,186,1838,2024,1,15464.8,4679,35.8,13.72,58.4,620066,25646,3.57,52.94,0.88,18,0.11,15.02,9.49,77.1,1583,31.87,23.92,51858
64,Knollwood Park Cemetery,40.6916915,-73.8983921,,Yes,77,1947,2024,1,9796.4,2964,34,9.72,65.08,1011905,37776,20.24,9.75,1.59,4.22,0.07,44.03,20.14,83.2,1082,20.68,9.42,82881
65,St. Anns Churchyard,40.8082689,-73.9169159,,Yes,183,1841,2024,1,78559.9,23769,33.5,11.54,63.16,791515,15639,9.11,29.02,2.81,0.86,0.09,44.15,13.96,81.3,9104,42.05,43.02,21848
67,United Hebrew Cemetery,40.5672945,-74.1476556,,Yes,116,1908,2024,1,6927.6,2096,43.4,19.8,49.17,681196,57397,82.97,0.91,0.14,4.63,0,3.82,7.54,46.4,863,12.84,7.61,124017
68,Riker Cemetery,40.7734059,-73.8921776,,Yes,282,1742,2024,1,13167.7,3984,41.5,16.94,46.46,832325,46793,69.6,2.41,0.28,6.88,0.08,9.46,11.3,66.3,1709,19.56,7.47,101615
71,"St. Peter's Church Cemetery, Westchester sq.",40.8382267,-73.8439706,,Yes,229,1795,2024,1,26176.7,7920,34.9,12.31,64.02,669922,22847,10.83,11.38,2.02,34.65,0.18,30.27,10.68,87.5,2709,33.19,30.33,46330
72,"Friend Cemetery, Westchester sq.",40.8378156,-73.844564,,Yes,169,1723,1892,1,28447.3,8607,35.3,12.92,63.59,668427,23078,11.15,11.61,2.09,33.98,0.17,30.36,10.62,87.7,2926,32.9,29.63,47483
74,Baron Hirsch Cemetery,40.622115,-74.1552498,,Yes,125,1899,2024,1,15395.3,4658,39.8,17.15,51.66,488262,38692,34.76,17.48,1.05,19.79,0.09,16.12,10.71,87.1,1701,23.74,6.85,96778
76,Mount Olivet Cemetery,40.7203134,-73.8952537,,Yes,173,1851,2024,1,14311.3,4330,43.3,19.49,43.92,839815,50870,67.41,1.62,0.42,8.57,0,12.82,9.15,69.9,1845,18.44,9.25,115244
77,Barkeloo Cemetery,40.6367861,-74.0347311,,Yes,299,1725,2024,1,31022,9386,42,18.53,45.21,1012725,58492,62.5,2.58,0.3,18.84,0.02,6.55,9.22,67.8,4361,25.82,11.35,90993
80,St. Mary's Cemetery,40.5967809,-74.0818244,,Yes,171,1853,2024,1,12433.9,3762,41.6,18.5,45.68,705630,34543,51.73,12.33,0.56,18,0.05,10.05,7.28,77.8,1425,22.12,12.46,65599
81,"Bayside Cemetery, Mokom Sholom cemetery& Acacia Cemetery",40.6777631,-73.8550004,,Yes,163,1861,2024,1,29964.4,9066,36.6,13.1,60.3,733666,34049,12.89,7.39,1.88,43.78,0.02,23.84,10.21,84,2724,25.99,11.48,88060
86,St. Mary of the assumption cemetery,40.6304628,-74.1451084,,Yes,0,,,1,16710.8,5056,37.5,12.6,59.02,701087,33348,24.43,23.69,3.4,10.9,0.16,25.89,11.53,89.4,1734,22.17,14.29,81131
87,"Public Burial Ground, Flushing",40.7546461,-73.8023791,,Yes,0,,,1,22111.4,6690,41.1,17.38,44.29,915676,34580,17.97,1.46,0.43,56.85,0,15.71,7.58,76.1,2359,20.96,11.17,76159
88,"Macedonia A.M.E Cemetery,",40.7618648,-73.8277463,60,Yes,187,1837,2024,1,59370.2,17963,46,22.36,37.56,673169,30004,7.5,4.74,0.44,74.14,0.02,8.03,5.13,57.4,8047,26.33,23.39,42042
89,"Friend's Cemetery, Prospect Park",40.6599757,-73.9726505,,Yes,178,1846,2024,1,6362.4,1925,43.1,15.64,56.76,1908120,96665,78.49,2.03,0.21,6.7,0,3.95,8.62,47.1,932,5.8,1.35,162141
97,Merchant Marine Cemetery,40.5643229,-74.1471812,,Yes,123,1901,2024,1,10665.7,3227,42.7,19.49,50.14,628210,44956,82.71,1.18,0.15,4.68,0,3.9,7.38,46.7,1228,12.96,17.9,112011
99,Canarsie Cemetery,40.6366547,-73.9044092,32,Yes,136,1888,2024,1,39724.5,12019,39.8,16.83,55.45,715527,35288,4.86,80.81,0.1,2.75,0.02,3.68,7.8,41.8,4202,18.59,10.37,84973
102,Fredrick Douglass Memorial Park,40.5637141,-74.134993,,Yes,89,1935,2024,1,8200.1,2481,44.7,22.33,46.69,647451,59974,80.85,0.73,0.12,8.67,0,3.55,6.13,46.7,920,29.08,6.21,127888
103,"Friend's Cemetery, Flushing",40.7628223,-73.8301714,,Yes,348,1676,2024,1,35199.7,10650,45.5,23.41,36.42,689723,29220,7.77,6.58,0.4,72.12,0.03,8.01,5.09,59.4,4931,29,26.07,41791
104,Holy Cross Cemetery,40.6470233,-73.9382502,,Yes,175,1849,2024,1,19622.6,5937,41.6,19.44,44.18,627242,33865,1.89,81.05,0.27,3.71,0.03,3.27,9.79,41.7,2156,15.85,11.33,75031
